Source,Target
0,26
0,19
1,93
1,146
1,147
1,49
1,49
1,54
2,182
2,151
2,151
2,124
2,170
2,29
2,25
2,182
2,124
3,59
4,175
5,122
6,186
7,81
7,18
7,104
7,44
7,72
7,71
7,74
7,110
7,162
8,143
9,64
10,12
11,74
12,7
13,185
14,82
14,82
15,82
15,28
15,137
16,171
17,192
18,90
18,155
19,190
19,0
19,35
19,161
19,26
19,115
19,29
19,190
19,27
20,108
21,34
22,78
22,51
22,186
22,186
23,100
24,7
24,176
25,194
26,181
26,172
26,113
27,142
27,0
27,67
28,125
28,6
28,42
29,31
29,120
29,120
29,60
29,115
29,182
29,186
30,145
31,58
31,182
32,198
34,77
35,19
35,186
36,39
36,91
37,41
38,164
38,41
39,8
40,61
40,123
41,158
41,123
41,123
42,145
42,97
43,59
44,7
44,7
44,113
44,170
44,119
44,128
45,157
46,133
47,24
47,131
48,22
49,35
49,19
49,1
49,19
49,75
49,48
50,67
50,42
50,136
50,156
51,28
52,50
52,40
53,15
54,56
54,49
55,1
56,174
57,100
58,126
58,67
58,163
58,2
59,17
59,165
59,27
60,192
60,125
60,199
60,199
60,123
60,82
61,179
61,38
61,20
62,19
63,2
64,102
65,15
65,118
66,154
66,50
67,130
67,130
67,50
67,31
67,58
67,130
67,133
68,19
69,61
70,81
71,87
72,170
73,182
74,162
74,114
74,127
75,192
75,67
75,117
75,131
75,134
75,118
75,128
76,149
76,172
76,41
76,172
77,14
78,117
78,107
79,95
79,134
80,119
80,114
81,13
81,10
82,107
82,116
82,179
82,55
82,125
83,9
84,49
85,119
85,24
86,38
87,113
87,76
88,186
88,165
89,62
90,175
90,176
91,98
92,180
92,191
93,49
93,73
93,121
93,192
93,103
94,67
95,79
95,113
96,85
96,176
97,189
98,140
99,142
100,44
100,144
100,90
100,148
100,144
101,115
101,115
102,70
103,132
104,127
104,85
105,57
106,184
107,173
107,99
107,123
108,82
109,66
109,167
109,142
110,157
111,7
112,79
113,75
113,92
113,53
113,75
114,104
114,160
114,47
114,194
115,101
115,101
115,171
115,182
115,132
115,169
116,61
117,105
117,23
117,131
118,89
118,33
118,173
119,120
119,157
119,124
119,80
120,19
120,115
120,29
120,29
121,172
121,75
121,76
121,44
122,160
122,175
122,69
123,196
123,182
123,192
123,138
123,165
123,171
123,95
123,54
123,195
124,47
124,100
124,2
124,44
125,84
125,159
125,15
126,139
127,100
127,122
127,197
128,124
128,93
129,26
130,58
130,192
130,67
130,186
130,68
131,2
131,192
131,100
131,114
132,115
132,123
133,94
133,50
133,145
133,106
134,187
134,92
135,66
135,109
136,184
137,19
138,109
139,119
140,131
140,7
141,162
142,22
142,1
142,40
143,76
144,168
144,114
145,86
145,60
145,30
146,65
147,1
148,2
149,7
149,76
150,190
151,44
151,109
152,129
153,166
154,158
155,7
155,189
156,52
157,11
157,188
157,111
158,112
158,46
158,174
159,65
159,36
160,122
160,149
161,1
161,193
162,7
162,32
162,74
163,60
164,87
165,5
165,59
165,183
166,43
167,118
168,80
168,155
169,161
169,107
170,2
170,63
170,44
171,192
171,16
171,121
172,180
172,121
172,121
172,36
173,22
173,123
174,88
174,78
175,176
175,177
175,178
176,18
176,96
176,127
176,117
177,140
178,189
179,52
179,135
180,75
180,133
181,93
182,93
182,2
182,186
182,93
182,2
182,2
182,29
182,186
183,158
184,152
184,133
185,21
186,169
186,135
186,159
186,49
186,29
186,37
186,29
186,120
186,182
187,27
188,194
189,22
189,96
189,83
190,67
190,14
190,75
191,192
192,60
192,60
192,3
192,130
192,153
192,123
192,123
192,130
192,88
193,58
194,75
194,168
194,4
195,19
196,28
197,141
198,45
199,60
199,150
